frequency (MHz)  ; fluoresence (counts/s)
-2.7453957 ; 184.0000000 
-2.5084801 ; 200.0000000 
-2.3319325 ; 190.0000000 
-2.1165385 ; 221.0000000 
-1.9263043 ; 189.0000000 
-1.7307010 ; 198.0000000 
-1.5271831 ; 241.0000000 
-1.3142514 ; 215.0000000 
-1.1211743 ; 231.0000000 
-0.9122672 ; 276.0000000 
-0.7182326 ; 376.0000000 
-0.5132475 ; 378.0000000 
-0.3029671 ; 449.0000000 
-0.1149068 ; 542.0000000 
0.0930228 ; 532.0000000 
0.2915492 ; 438.0000000 
0.4813676 ; 325.0000000 
0.6822004 ; 358.0000000 
0.8918324 ; 278.0000000 
1.0916343 ; 284.0000000 
1.2892094 ; 229.0000000 
1.4950399 ; 230.0000000 
1.6927314 ; 234.0000000 
1.8753729 ; 178.0000000 
2.1107244 ; 197.0000000 
2.2948856 ; 198.0000000 
2.4747953 ; 182.0000000 
2.6987405 ; 172.0000000 
2.9056311 ; 176.0000000 
3.0776296 ; 176.0000000 
3.3075294 ; 144.0000000 
3.5132537 ; 153.0000000 
3.7176547 ; 172.0000000 
3.9053297 ; 165.0000000 
4.0933638 ; 138.0000000 
4.3084116 ; 142.0000000 
4.5018787 ; 140.0000000 
4.7038646 ; 158.0000000 
4.9119058 ; 130.0000000 
5.1143374 ; 155.0000000 
5.3053331 ; 140.0000000 
5.5040483 ; 123.0000000 
5.6952772 ; 137.0000000 
5.9049397 ; 132.0000000 
6.1233587 ; 118.0000000 
6.3382807 ; 141.0000000 
6.5131016 ; 136.0000000 
6.7287660 ; 100.0000000 
6.9224949 ; 122.0000000 
7.1027122 ; 103.0000000 
7.3237362 ; 129.0000000 
7.5278659 ; 107.0000000 
7.7162828 ; 112.0000000 
7.9168591 ; 114.0000000 
8.1158376 ; 102.0000000 
8.3348765 ; 109.0000000 
8.5331831 ; 104.0000000 
8.7267609 ; 95.0000000 
8.9343586 ; 90.0000000 
9.1400380 ; 97.0000000 
9.3232641 ; 101.0000000 
9.5190306 ; 101.0000000 
9.7251134 ; 92.0000000 
9.9434710 ; 102.0000000 
10.1410866 ; 95.0000000 
10.3393145 ; 94.0000000 
10.5259132 ; 88.0000000 
10.7348146 ; 101.0000000 
10.9312153 ; 91.0000000 
11.1318831 ; 125.0000000 
11.3381691 ; 98.0000000 
11.5527697 ; 110.0000000 
11.7356448 ; 102.0000000 
11.9275475 ; 80.0000000 
