Time	CAG	GRAV	RES
57120.85401	636.4842	-0.72122	-11.51484
57120.85609	655.8845	-0.72878	1.09296
57120.85806	661.69623	-0.73447	1.79544
57120.86003	650.92484	-0.73973	-13.70268
57120.86212	665.90293	-0.74456	-3.06612
57120.86425	667.42386	-0.74925	-5.75682
57120.86621	655.11467	-0.75349	-21.8735
57120.86817	680.3675	-0.75909	-1.64691
57120.8702	672.79645	-0.76399	-13.62453
57120.8723	663.59043	-0.76558	-24.25324
57120.87428	686.16326	-0.76954	-5.23907
57120.87624	670.99263	-0.77317	-23.67648
57120.87828	705.89705	-0.77518	9.42916
57120.88039	699.3092	-0.7772	1.02148
57120.88237	694.11537	-0.78134	-7.8848
57120.88433	713.24165	-0.78486	8.07499
57120.88636	686.82947	-0.78537	-18.79142
57120.88845	701.93262	-0.78845	-6.45633
57120.89041	705.5784	-0.78966	-3.90006
57120.89237	702.78343	-0.79141	-8.26819
57120.8944	717.53359	-0.79382	4.32347
57120.89649	713.58169	-0.79512	-0.8019
57120.89845	700.74124	-0.79602	-14.44425
57120.90042	720.83825	-0.79749	4.33022
57120.90248	731.14926	-0.79806	14.12965
57120.90457	703.03099	-0.79798	-13.92241
57120.90654	701.28938	-0.79759	-15.31429
57120.90855	705.511	-0.79761	-11.10421
57120.91066	701.73898	-0.79683	-14.18226
57120.91279	704.37629	-0.79653	-11.27298
57120.91475	713.45207	-0.79647	-2.14489
57120.91671	708.45365	-0.79556	-6.3208
57120.91874	713.21892	-0.79332	0.45104
57120.92085	705.59126	-0.79315	-7.01728
57120.92283	709.12213	-0.79184	-2.31464
